currency,n_test_options,rmse_black,mae_black,within_black,rmse_heston,mae_heston,within_heston,rmse_svcj,mae_svcj,within_svcj
BTC,57494,0.00532951821014375,0.003565104650886753,0.25667026124465164,0.002891501075026192,0.001482301616533499,0.4520297770202108,0.0025456003199111807,0.0010040341048538572,0.6188297909347062
ETH,49532,0.006150809525748286,0.003928631850540627,0.321368004522329,0.004485479596820023,0.002112052932646333,0.4909149640636356,0.004226927641266635,0.001625874972189686,0.6310465961398691
Pooled,107026,0.00572428126836632,0.003733346286127308,0.28661259880776635,0.0037152076295133684,0.0017737526862707678,0.47002597499672977,0.0034286968257704682,0.0012921526209138572,0.6244837702988059
