currency,snapshot_ts,n_options,rmse_black,mae_black,within_black,rmse_heston,mae_heston,within_heston,rmse_svcj,mae_svcj,within_svcj
BTC,2025-12-30 17:31:15+00:00,120,0.0049581488775574155,0.0036285916175238003,0.15,0.001520999325069018,0.0010087660314283364,0.4083333333333333,0.0012856860205063003,0.0005030681152782465,0.8083333333333333
BTC,2025-12-30 21:17:51+00:00,118,0.006320619864173829,0.0039656970047514594,0.15254237288135594,0.0031831301176034068,0.0012609955555584647,0.4491525423728814,0.002767920232768086,0.0007776316347476508,0.7796610169491526
BTC,2025-12-31 09:18:28+00:00,118,0.004455711688392986,0.003473515523165277,0.2288135593220339,0.0024024449944725058,0.0012887772400136028,0.4491525423728814,0.0022181243849887706,0.0008223675021095158,0.6864406779661016
BTC,2025-12-31 21:18:43+00:00,120,0.005849653916227246,0.004116929471362748,0.225,0.0035449241746662455,0.0017017993520282585,0.425,0.003282049411711016,0.001159448720364072,0.725
BTC,2026-01-01 09:18:35+00:00,103,0.005661176506561554,0.004111596118330135,0.21359223300970873,0.002228846308503259,0.0011373054038292946,0.4854368932038835,0.0022618216203078227,0.0008808136119728149,0.6116504854368932
BTC,2026-01-01 21:19:18+00:00,114,0.0058584024820168045,0.004242021599818843,0.20175438596491227,0.0019593113444243263,0.0012994557023774964,0.42105263157894735,0.0015240794580255227,0.0007957068603324822,0.6228070175438597
BTC,2026-01-02 09:18:09+00:00,118,0.006087276202849859,0.0041524394407855885,0.19491525423728814,0.003310333906050189,0.0016351426103769834,0.4830508474576271,0.003091332856941948,0.001177559006764233,0.635593220338983
BTC,2026-01-02 16:26:24+00:00,124,0.005204081790818699,0.003779179370849528,0.21774193548387097,0.0020072080779237806,0.0012867121118962173,0.46774193548387094,0.0016496038933928156,0.0008720032818556508,0.6370967741935484
BTC,2026-01-02 21:16:23+00:00,124,0.004372809193731397,0.003027629868705727,0.20967741935483872,0.0029286596175148107,0.0019141458749803043,0.23387096774193547,0.0024009506491854166,0.0012542957430009857,0.3709677419354839
BTC,2026-01-03 03:48:31+00:00,125,0.005261516855832225,0.0036350614649851756,0.208,0.0029883654954828676,0.0021074088560507163,0.272,0.0018319134526666092,0.0011864573835482543,0.456
BTC,2026-01-03 09:14:26+00:00,120,0.005640374187887825,0.0040261658398960285,0.225,0.00246502142986978,0.0015123194433613164,0.45,0.002128486736783455,0.0010351428978262775,0.6833333333333333
BTC,2026-01-03 15:27:25+00:00,123,0.004701877557021661,0.0032798062144611135,0.24390243902439024,0.0020541236144430673,0.001172192261234329,0.5528455284552846,0.0017814285211212124,0.0008209390321086632,0.6747967479674797
BTC,2026-01-03 21:18:32+00:00,124,0.005371614508685592,0.0033893645230287065,0.20967741935483872,0.002920826863338934,0.0013632985045566484,0.49193548387096775,0.002341762306184775,0.0009013073401084235,0.6290322580645161
BTC,2026-01-04 04:06:22+00:00,126,0.0036604179725395767,0.0023596371927869144,0.24603174603174602,0.0018809114427159144,0.0010722252124643113,0.40476190476190477,0.001703535728813334,0.0008676144642636992,0.5396825396825397
BTC,2026-01-04 09:13:50+00:00,123,0.004576775004688771,0.0028858951895187196,0.2764227642276423,0.0023797065591681056,0.001234500490540426,0.5121951219512195,0.002011765510098279,0.0009713133705197076,0.5609756097560976
BTC,2026-01-04 15:27:20+00:00,126,0.004400663305947677,0.0027871971530739237,0.3253968253968254,0.0022851303792185574,0.0011875884706594884,0.5555555555555556,0.0020030334745862405,0.0009959899629229196,0.6746031746031746
BTC,2026-01-04 21:18:46+00:00,126,0.003967481584544722,0.0024900477358124878,0.31746031746031744,0.002464709903631961,0.0011311067218243572,0.5952380952380952,0.0023370010402776606,0.0010212513027095162,0.6190476190476191
BTC,2026-01-05 04:11:27+00:00,130,0.0053852937997066275,0.0029158324087693605,0.2923076923076923,0.0036804902727078114,0.0015405079623977043,0.47692307692307695,0.0033629136667951555,0.001302404834885935,0.5153846153846153
BTC,2026-01-05 09:25:11+00:00,126,0.005037459786018808,0.0029771212887493917,0.2698412698412698,0.002939911739238868,0.0013287837414865426,0.5079365079365079,0.002688508947531731,0.0011747923986130055,0.5873015873015873
BTC,2026-01-05 15:33:29+00:00,130,0.0031529545872058793,0.0021122047374202845,0.3076923076923077,0.0009246424415877054,0.0007258653080997168,0.47692307692307695,0.0008931284408656613,0.0007527248079500112,0.4
BTC,2026-01-05 21:21:30+00:00,131,0.003562994715249496,0.0023225002405916407,0.2824427480916031,0.0015209507131853613,0.0007109198305249858,0.5954198473282443,0.0014114095269962628,0.0006038638639391387,0.648854961832061
BTC,2026-01-06 03:56:17+00:00,130,0.004024080506019057,0.002705419343127158,0.26153846153846155,0.0017166192926032716,0.0007798240218048777,0.5846153846153846,0.0016222890876504345,0.0005820580618293396,0.7230769230769231
BTC,2026-01-06 09:20:20+00:00,127,0.005130550375730938,0.003162632922241852,0.3464566929133858,0.003400564503862291,0.0014047570722197091,0.6614173228346457,0.00323339324944472,0.0011906404236933302,0.7322834645669292
BTC,2026-01-06 15:32:40+00:00,131,0.004384723624186768,0.0027225847146885172,0.29770992366412213,0.0020082723596748136,0.0008439147445737436,0.5419847328244275,0.001915163384200044,0.0005974431173047142,0.7175572519083969
BTC,2026-01-06 21:21:21+00:00,122,0.004009285247973322,0.002561314082465517,0.27049180327868855,0.001204267888689279,0.0008534618143817027,0.45901639344262296,0.0008933680958795215,0.0007199296603303176,0.5163934426229508
BTC,2026-01-07 03:56:38+00:00,130,0.004185037462012219,0.0027584181385795726,0.26153846153846155,0.0017097809990816789,0.0009425884115545671,0.5923076923076923,0.001527328447892852,0.0007055848375543352,0.6923076923076923
BTC,2026-01-07 09:21:55+00:00,127,0.004404392244336917,0.00278568947147134,0.3464566929133858,0.001970865070649354,0.00109172158436308,0.5905511811023622,0.0017117045109354375,0.0008695664392217221,0.6377952755905512
BTC,2026-01-07 15:34:52+00:00,131,0.005135574687745144,0.0033743185871967576,0.25190839694656486,0.0033642997902745145,0.0014112924413890915,0.5114503816793893,0.0031626729726593047,0.0010217565264553372,0.7099236641221374
