currency,dimension,bucket,n_options,bucket_min,bucket_median,bucket_max,rmse_black,mae_black,within_black,rmse_heston,mae_heston,within_heston,rmse_svcj,mae_svcj,within_svcj
BTC,time_to_maturity,Q1,11499,0.0030514951260869,0.0080585967360952,0.0230914470047151,0.0026923659160572352,0.0016700772826467624,0.31411427080615706,0.0018448286613664897,0.0010175487205051493,0.4203843812505435,0.0017016338168453036,0.0008412601310909015,0.45603965562222804
BTC,time_to_maturity,Q2,11499,0.0230914470047151,0.0429275208929386,0.0710276265051524,0.0033978780676067314,0.0022676536957231272,0.30106965823115056,0.0022568463365628196,0.0010926105067700176,0.49204278632924603,0.0021210744902144542,0.0008328498482044928,0.614575180450474
BTC,time_to_maturity,Q3,11498,0.0710276265051524,0.1285229937087738,0.1860118062824486,0.003870688624627383,0.0029418417258940716,0.23708471038441467,0.0023047633791530246,0.001232557921367343,0.4566011480257436,0.002040248756716447,0.0007398920137094327,0.6997738737171681
BTC,time_to_maturity,Q4,11499,0.1860118062824486,0.2728474385550866,0.5041311023699521,0.0052426639266187555,0.0039303103797193135,0.22419340812244543,0.0032051214542541027,0.001702644670968363,0.3977737194538655,0.0027749520428763303,0.0009571931451396626,0.6698843377685016
BTC,time_to_maturity,Q5,11499,0.5041311023699521,0.7335948047441186,0.9983688164349,0.008986405816860762,0.007015585968961229,0.20688755543960344,0.0042097673626201185,0.0023661245443249786,0.4933472475867467,0.0036239959649984575,0.0016483444245636023,0.6538829463431602
BTC,moneyness,Q1,11499,0.5002639392543505,0.8061007857064357,0.9072772566997819,0.008053570704025,0.0063513399512752835,0.10566136185755283,0.0027967225934051867,0.0018342655104369061,0.3693364640403513,0.0020326773453146125,0.0010227193911582192,0.5698756413601183
BTC,moneyness,Q2,11499,0.907278172154699,0.9610984714796698,1.001146165131699,0.0039706509030426485,0.002729335907070438,0.1747978085050874,0.0015693894578414406,0.0011233869566135365,0.3686407513696843,0.0013072443542307248,0.0008506428640646473,0.4894338638142447
BTC,moneyness,Q3,11498,1.001150321719656,1.042134158032282,1.097887359751128,0.003773849838884131,0.00267195099635696,0.20238302313445816,0.0017949874469660408,0.0011456170783991125,0.39511219342494347,0.0014324988133323647,0.000743234703115472,0.5680118281440251
BTC,moneyness,Q4,11499,1.097897090727541,1.181292046613784,1.303879699260669,0.004622017464634903,0.003185337322520438,0.3262022784589964,0.0029014819667406272,0.0013125268797611798,0.5537003217671101,0.0026972663828619056,0.0008903572508648614,0.7483259413862074
BTC,moneyness,Q5,11499,1.303899209170642,1.526630737412262,1.999933896921723,0.005078044157253532,0.0028874814049213555,0.47430211322723714,0.004458500574245579,0.0019956823779943597,0.5733542047134533,0.00415336346368359,0.001513881435068128,0.7184972606313592
ETH,time_to_maturity,Q1,9907,0.0030514951260869,0.0073472840697644,0.0168629339667148,0.0033921639371978867,0.002291415349648035,0.31048753406682145,0.0022472988956887003,0.0012693903033472779,0.43565155950338147,0.002040323698677791,0.0010205522143262094,0.5129706268295144
ETH,time_to_maturity,Q2,9906,0.0168629339667148,0.036788043987724,0.0579528471170494,0.004402049773619263,0.0028921227054844387,0.3402988088027458,0.003196530191567761,0.0015140646521557895,0.5014132848778519,0.0030377092454623796,0.0012254882944123168,0.6089238845144357
ETH,time_to_maturity,Q3,9906,0.0579528471170494,0.1168012333288336,0.1777968151639224,0.005191306346499797,0.0033315363156502333,0.33868362608520086,0.004359489882842326,0.0020157218162244798,0.5188774480113063,0.004067516582077894,0.0015636142581929844,0.6800928730062589
ETH,time_to_maturity,Q4,9906,0.1777968151639224,0.2536731456126258,0.4857800858665424,0.005801239615455515,0.0038176750997849607,0.32656975570361396,0.004410311793301931,0.002106660795719979,0.5021199273167777,0.004104597059101083,0.0015403558038573557,0.696244700181708
ETH,time_to_maturity,Q5,9907,0.4857800858665424,0.7267210828555403,0.9983688164349,0.009882815645053765,0.007310233688319909,0.2908044816796205,0.006846334557722142,0.003654356467790414,0.4965176138084183,0.006523072253899992,0.0027793089589230532,0.6570101948117493
ETH,moneyness,Q1,9907,0.5000550060506656,0.7841765241677173,0.895438381047407,0.006417884881243356,0.00493242461954069,0.20207933784192994,0.003059848944919685,0.001924152607944913,0.4414050671242556,0.0025215512668182623,0.0012349058945514547,0.6415665690925608
ETH,moneyness,Q2,9906,0.8954475446828325,0.9600275891571226,1.005363614885414,0.004286806967031273,0.0030071236182966196,0.23329295376539472,0.0023299119161961637,0.0014511450967953803,0.4230769230769231,0.0019256558669672249,0.0011127742316534943,0.5185746012517666
ETH,moneyness,Q3,9906,1.005383830411855,1.0544867983372286,1.127577810487693,0.004486872658320686,0.003226986956508885,0.21168988491823137,0.002270988815763777,0.0014656023896290457,0.41722188572582275,0.0016744876145492874,0.0009815314983485951,0.5611750454270139
ETH,moneyness,Q4,9906,1.127577810487693,1.2454866114386975,1.413822471025055,0.006647095152855222,0.004025420432136304,0.43387845750050474,0.005252639673009463,0.002430709905994499,0.5833838077932566,0.004915194256025501,0.0018995802654626385,0.7238037552998183
ETH,moneyness,Q5,9907,1.414005726723193,1.655056929090546,1.999670054441017,0.008079438048052456,0.004451049556921684,0.5258907842939335,0.007283997402353227,0.0032885548646034175,0.5894821843141214,0.007232071438193152,0.002900493767447731,0.7101039668920965
