snapshot_file,snapshot_timestamp_ms,obs_datetime,coin,instrument_name,candle_found,candle_tick_ms,candle_open_time_ms,candle_close_time_ms,candle_gap_open_seconds,candle_gap_close_seconds,candle_price_choice,candle_price_timestamp_ms,candle_price_gap_seconds,candle_open,candle_high,candle_low,candle_close,candle_volume,candle_cost,accepted_under_max_gap,candle_resolution,candle_price_used,perp_futures_mark_price,perp_futures_best_bid,perp_futures_best_ask,data_source
deribit_options_snapshot_20251230T173115Z.csv,1767115875944,2025-12-30T17:31:15.944181+00:00,BTC,BTC-PERPETUAL,True,1767115860000,1767115860000,1767115920000,15.944,44.056,open,1767115860000,15.944,88539.0,88556.5,88535.0,88537.0,0.48486677,42930.0,True,1,88539.0,88539.0,,,tradingview_chart_open_close_nearest
deribit_options_snapshot_20251230T173115Z.csv,1767115875944,2025-12-30T17:31:15.944181+00:00,ETH,ETH-PERPETUAL,True,1767115860000,1767115860000,1767115920000,15.944,44.056,open,1767115860000,15.944,2978.35,2979.95,2978.35,2979.1,4.444973,13242.0,True,1,2978.35,2978.35,,,tradingview_chart_open_close_nearest
deribit_options_snapshot_20251230T211751Z.csv,1767129471988,2025-12-30T21:17:51.988211+00:00,BTC,BTC-PERPETUAL,True,1767129420000,1767129420000,1767129480000,51.988,8.012,close,1767129480000,8.012,88062.0,88091.5,88058.0,88079.0,0.51256335,45150.0,True,1,88079.0,88079.0,,,tradingview_chart_open_close_nearest
deribit_options_snapshot_20251230T211751Z.csv,1767129471988,2025-12-30T21:17:51.988211+00:00,ETH,ETH-PERPETUAL,True,1767129420000,1767129420000,1767129480000,51.988,8.012,close,1767129480000,8.012,2961.65,2962.55,2961.65,2962.55,2.041526,6048.0,True,1,2962.55,2962.55,,,tradingview_chart_open_close_nearest
deribit_options_snapshot_20251231T091828Z.csv,1767172708589,2025-12-31T09:18:28.589807+00:00,BTC,BTC-PERPETUAL,True,1767172680000,1767172680000,1767172740000,28.589,31.411,open,1767172680000,28.589,88492.0,88492.0,88492.0,88492.0,0.21561271,19080.0,True,1,88492.0,88492.0,,,tradingview_chart_open_close_nearest
deribit_options_snapshot_20251231T091828Z.csv,1767172708589,2025-12-31T09:18:28.589807+00:00,ETH,ETH-PERPETUAL,True,1767172680000,1767172680000,1767172740000,28.589,31.411,open,1767172680000,28.589,2971.95,2971.95,2971.95,2971.95,3.465738,10300.0,True,1,2971.95,2971.95,,,tradingview_chart_open_close_nearest
deribit_options_snapshot_20251231T211843Z.csv,1767215923878,2025-12-31T21:18:43.878798+00:00,BTC,BTC-PERPETUAL,True,1767215880000,1767215880000,1767215940000,43.878,16.122,close,1767215940000,16.122,87610.0,87620.0,87609.5,87620.0,0.15991283,14010.0,True,1,87620.0,87620.0,,,tradingview_chart_open_close_nearest
deribit_options_snapshot_20251231T211843Z.csv,1767215923878,2025-12-31T21:18:43.878798+00:00,ETH,ETH-PERPETUAL,True,1767215880000,1767215880000,1767215940000,43.878,16.122,close,1767215940000,16.122,2974.5,2975.95,2974.5,2975.2,16.116295,47953.0,True,1,2975.2,2975.2,,,tradingview_chart_open_close_nearest
deribit_options_snapshot_20260101T091835Z.csv,1767259115173,2026-01-01T09:18:35.173006+00:00,BTC,BTC-PERPETUAL,True,1767259080000,1767259080000,1767259140000,35.173,24.827,close,1767259140000,24.827,87771.0,87875.5,87771.0,87831.5,11.53585501,1013380.0,True,1,87831.5,87831.5,,,tradingview_chart_open_close_nearest
deribit_options_snapshot_20260101T091835Z.csv,1767259115173,2026-01-01T09:18:35.173006+00:00,ETH,ETH-PERPETUAL,True,1767259080000,1767259080000,1767259140000,35.173,24.827,close,1767259140000,24.827,2981.9,2983.0,2981.9,2982.4,1.545823,4611.0,True,1,2982.4,2982.4,,,tradingview_chart_open_close_nearest
